Monday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
06:50 am 07:25 am,Throwball Team Practice A Level Girls,College Section Field,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
07:30 am 07:45 am,School Assembly,Inner Courtyard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10:50 am 11:15 am,Urdu Drama Auditions,Lecture Theatre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
12:00 pm 02:00 pm,"Practical [Biology FY C1, C2 & C3]","Biology Lab 1, 2 & 3",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:45 pm 02:45 pm,Swimming Society: Boys Training,Swimming Pool,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
01:45 pm 03:30 pm,Indoor Rowing,Gymnasium,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
02:00 pm 03:00 pm,Basketball Team Practice A & O Level Girls,Basketball Court,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
