Friday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
08:00 am 11:15 am,Inter House Basketball Tournament A Level Girls,Basketball Court,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
07:30 am 08:00 pm,5 9th Sindh Open Boys Swimming Championship,Karachi Gymkhana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
11:00 am 12:00 pm,Extra Class: Biology FY-D2,Online,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
