Wednesday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
-,Second Test Week begins for Year 12,-,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
06:45 am 07:20 am,Volleyball Team Practice A Level Boys,College Section Field,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
07:30 am 07:45 am,School Assembly,Inner Courtyard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
12:00 pm 02:00 pm,"Practical [Chemistry FY A1, A2 & A3]","Chemistry Lab 1, 2 &3",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:45 pm 02:45 pm,Swimming Society: Boys Training,Swimming Pool,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
01:45 pm 03:00 pm,Football Team Practice O Level Boys,Online,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
02:00 pm 03:00 pm,Basketball Team Practice A & O Level Girls,Online,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
