Friday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
06:45 am 07:20 am,Volleyball Team Practice A Level Boys,Volleyball Court,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
06:45 am 07:25 am,Football Team Practice A&O Level Girls,College Section Field,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
07:30 am 08:00 am,Frere,"Front Courtyard, Block G",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
07:30 am 08:00 am,Napier,"Front Courtyard, Block K",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
07:30 am 08:00 am,Papworth,Lecture Theatre,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
07:30 am 08:00 am,Streeton,Inner Courtyard,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
12:00 pm 01:30 pm,Indoor Rowing,Gymnasium,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
02:45 pm 03:30 pm,Extra Class: Chemistry X-D2,Online,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
